Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2019-02-01 00:00:00,53572,"Mount Horeb, WI",,386700.000000,-0.0052,0.0474,35.0,-0.0278,0.4286,78.75,-0.3016,-0.2391,4.0,-0.7778,0.0000,0.0,,,4.0,0.0000,0.0000,0.0,,,446606.0000,0.0181,0.1001,35.0,-0.0278,0.4286,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53573,"Muscoda, WI",,119950.000000,0.0000,-0.2067,4.0,-0.2000,-0.3846,82.75,0.1573,0.1182,2.0,,0.0000,0.0,,,0.0,,,0.0,,,119253.0000,0.0332,-0.4430,4.0,-0.2000,-0.3846,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53574,"New Glarus, WI",,342225.000000,0.1444,-0.1417,12.0,0.2632,-0.4894,35.00,-0.7403,0.3861,2.0,-0.5000,-0.8750,0.0,,,0.0,,-1.0000,0.0,,,351074.0000,0.0487,-0.1511,12.0,0.2632,-0.4894,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53575,"Oregon, WI",,322475.000000,0.1417,-0.1385,39.5,0.0128,-0.0247,50.00,-0.3056,-0.2701,18.0,0.8000,0.8000,0.0,,,2.0,0.0000,-0.5000,0.0,,,438615.0000,0.0960,-0.0067,39.5,0.0128,-0.0247,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53578,"Prairie Du Sac, WI",,363725.000000,0.0140,0.0699,28.0,-0.1111,0.1915,79.25,0.1569,-0.1524,4.0,-0.5000,0.0000,0.0,,,2.0,0.0000,,0.0,,,418151.0000,0.0558,-0.1239,28.0,-0.1111,0.1915,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53581,"Richland Center, WI",,142125.000000,-0.1690,0.1623,29.5,-0.0781,-0.1449,126.00,-0.0562,0.2663,2.0,-0.6667,-0.6667,0.0,,,0.0,,-1.0000,0.0,,,240939.0000,-0.0291,0.8065,29.5,-0.0781,-0.1449,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53583,"Sauk City, WI",*,214475.000000,-0.0413,,31.0,-0.0313,,84.00,0.1468,,4.0,-0.6000,0.0000,0.0,,,6.0,0.5000,2.0000,0.0,,,310026.0000,-0.0449,0.1111,31.0,-0.0313,2.4444,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53588,"Spring Green, WI",,259050.000000,0.0000,-0.0582,13.0,-0.0714,-0.3158,90.75,0.2222,-0.2438,0.0,-1.0000,-1.0000,0.0,,,0.0,,,0.0,,,289549.0000,0.0498,-0.1797,13.0,-0.0714,-0.3158,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53589,"Stoughton, WI",*,304500.000000,0.0278,0.0840,64.5,-0.1342,0.0320,85.50,0.0364,,12.0,-0.3333,-0.4000,0.0,,,6.0,0.0000,,0.0,,,373627.0000,-0.0151,0.0759,64.5,-0.1342,0.0320,0.0000,0.0000,0.0000
2019-02-01 00:00:00,53590,"Sun Prairie, WI",*,301200.000000,0.0042,,163.0,-0.0121,,66.50,-0.1635,,54.0,0.1250,-0.1290,2.0,0.0000,,14.0,0.1667,0.7500,0.0,,,334473.0000,0.0207,0.0290,163.0,-0.0121,0.4751,0.0000,0.0000,0.0000
